investor_number,date,investment,amount,type,notes
8160-01-139,2019-04-21,Liquidity Capital II LP,133333,capital_call,"1st call. 33.33% of $400K commitment"
8160-01-139,2019-09-15,Liquidity Capital II LP,76640,capital_call,"2nd call"
8160-01-139,2020-Q1,Liquidity Capital II LP,70044,capital_call,"Inferred from Q1 2020 stmt: ITD contrib $280018 - prev $209974 = $70044"
8160-01-139,2021-Q1,Liquidity Capital II LP,59982,capital_call,"Inferred from Q1 2021 stmt: ITD contrib $340000 - prev $280018 = $59982"
8160-01-139,2021-10-14,Liquidity Capital II LP,60000,capital_call,"Final capital call. 15% of $400K. Acknowledged Oct 14 2021"
8160-01-139,2022-09-18,Liquidity Capital II LP,109405,capital_call,"Recycled capital call. Took total contributions to $509406 (above $400K commitment)"
